bank_partner,country_code,currency_supported,payment_rail,average_completion_time_in_seconds,number_of_failures_per_thousand_transactions,active,routing_code,operating_hours,is_weekend,cost_in_us_cents,discounted_cost_in_us_cents,discount_rule,transaction_date
Atom Bank PLC,UK,GBP,DIRECT,1145,3,True,SKBRGBBLHTO,00:00-23:59,True,110,110,,2025-03-22 01:02:58
HSBC,UK,GBP,DIRECT,3459,15,True,VDKCGBM8,00:00-23:59,False,1118,1118,,2025-03-25 23:17:19
Citibank,US,USD,Fedwire,1835,16,True,551895830,08:30-17:00,False,2526,2526,,2025-03-24 21:27:42
Atom Bank PLC,UK,GBP,DIRECT,2333,14,False,FABUGBT2,00:00-23:59,False,104,104,,2025-02-11 06:48:28
DZ Bank,DE,EUR,SEPA,1694,1,True,OTVJGBDL,00:00-23:59,False,184,184,,2025-03-03 05:54:39
Yes Bank,IN,INR,UPI,1173,5,False,IN8917063770,00:00-23:59,False,185,185,,2025-02-25 11:11:34
Republic Bank,US,USD,CHIPS,2666,1,True,861305410,00:00-23:59,False,1112,1112,,2025-01-14 13:36:18
Santander UK,UK,GBP,CHAPS,2965,17,False,CGAMGBWX,08:00-16:00,False,196,196,,2025-02-24 04:11:40
First United Bank,US,USD,Fedwire,2705,20,True,376875808,08:30-17:00,False,2562,2562,,2025-01-08 01:33:18
Citizens Bank,US,USD,Fedwire,859,3,True,981190207,08:30-17:00,True,2532,2532,,2025-01-25 19:57:52
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2936,8,True,LVEQGBNV31X,08:00-17:00,False,228,228,,2025-01-13 10:00:30
Halifax,UK,USD,DIRECT,301,2,True,PTBHGBNULXN,00:00-23:59,True,1096,1096,,2025-02-08 16:04:04
Bank of the West,US,GBP,Fedwire,3406,17,False,608026846,08:30-17:00,False,3746,3746,,2025-03-31 01:43:55
UniCredit Bank AG,DE,EUR,SEPA,2233,6,True,KHTBGB2E023,00:00-23:59,False,70,-30,$1 off per 50 txn,2025-03-12 21:46:28
Kotak Mahindra Bank,IN,INR,IMPS,3385,3,True,IN7441057887,00:00-23:59,True,1699,1699,,2025-03-30 12:41:43
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,3497,8,True,MZPEGBBF33B,08:00-16:00,False,246,246,,2025-02-19 06:31:58
Signature Bank,US,USD,ACH,1999,7,True,894715430,00:00-23:59,False,115,115,,2025-03-21 19:26:35
NatWest,UK,GBP,DIRECT,2150,5,True,CCVGGB9B,00:00-23:59,False,39,39,,2025-04-08 03:46:25
First Direct,UK,GBP,CHAPS,520,17,True,WOZCGBDS,08:00-16:00,True,236,165,30% weekend discount,2025-03-16 01:10:42
Punjab and Sind Bank,IN,INR,UPI,2494,1,False,IN9931865966,00:00-23:59,False,15,15,,2025-02-05 06:18:36
Atom Bank PLC,UK,GBP,DIRECT,1105,3,True,BSGZGBIV,00:00-23:59,True,1231,1231,,2025-01-12 17:41:51
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,2553,16,True,JUIZGB81HAU,00:00-23:59,True,46,46,,2025-02-23 21:02:29
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,524,1,True,KGPEGBSQOL0,08:00-17:00,True,212,212,,2025-03-01 15:14:04
Volkswagen Bank,DE,EUR,SEPA,2676,14,True,BNTBGBLTL66,00:00-23:59,True,96,96,,2025-02-15 15:00:45
Volksbank,DE,EUR,SEPA,3228,2,True,XTVRGBVM,00:00-23:59,False,175,175,,2025-04-11 11:12:12
Syndicate Bank,IN,INR,IMPS,1381,17,True,IN1767355951,00:00-23:59,False,1574,1574,,2025-01-16 19:36:28
IDBI Bank,IN,INR,IMPS,1010,14,True,IN3220807896,00:00-23:59,False,1633,1633,,2025-01-10 14:53:54
Halifax,UK,GBP,CHAPS,1777,12,True,MVHHGBGV80F,08:00-16:00,False,301,301,,2025-04-09 20:40:53
IDBI Bank,IN,INR,RTGS,916,1,True,IN7983816032,00:00-23:59,False,2607,2607,,2025-02-18 19:04:58
Deutsche Bank,DE,EUR,SEPA,3346,11,True,MDLLGBKPKZ4,00:00-23:59,True,116,116,,2025-03-15 13:19:47
Santander UK,UK,GBP,DIRECT,903,5,True,WAXFGBBD,00:00-23:59,False,1255,1255,,2025-03-14 21:35:53
NatWest,UK,GBP,DIRECT,950,4,True,XQBJGBKBSEK,00:00-23:59,False,141,141,,2025-04-18 20:54:40
Santander,DE,USD,SEPA,1254,7,True,THPFGB7K,00:00-23:59,True,1174,1174,,2025-01-25 13:33:08
First Direct,UK,GBP,DIRECT,2180,4,True,UNNZGB0H130,00:00-23:59,True,1115,1115,,2025-01-25 15:48:03
Bank of Ireland,UK,GBP,DIRECT,2188,14,False,ZWNNGBR8,00:00-23:59,True,71,71,,2025-02-01 12:48:55
First National Bank,US,USD,ACH,368,10,True,729433808,00:00-23:59,False,212,212,,2025-03-14 12:26:34
Atom Bank PLC,UK,EUR,CHAPS,1758,6,True,BDNPGBKG,08:00-16:00,True,1290,1290,,2025-03-15 00:54:03
Fifth Third Bank,US,USD,CHIPS,2975,18,False,183225645,00:00-23:59,False,1184,1184,,2025-03-28 20:48:26
Landesbank Hessen-Th�ringen,DE,EUR,ELIXIR,689,3,True,JZOCGBUBP62,08:00-16:00,False,235,235,,2025-04-11 12:28:27
Santander,DE,EUR,ELIXIR,3150,20,True,CWHXGB9P,08:00-16:00,True,324,324,,2025-03-22 03:28:23
Bank of Baroda,IN,GBP,RTGS,515,7,True,IN8010578845,00:00-23:59,True,3619,3619,,2025-01-18 02:52:10
UniCredit Bank AG,DE,EUR,ELIXIR,1709,8,True,NGUSGBTR5P7,08:00-16:00,False,295,295,,2025-02-12 12:57:27
ABC International Bank plc,UK,GBP,CHAPS,1782,1,True,SYJDGBUYKPW,08:00-16:00,False,1236,1236,,2025-01-09 18:04:47
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,3157,16,True,WQXRGBCGOPD,08:00-17:00,False,231,181,50 cent discount,2025-01-15 00:33:07
Indian Bank,IN,INR,RTGS,1679,16,False,IN1286110150,00:00-23:59,True,2574,2574,,2025-04-05 15:40:15
DZ Bank,DE,USD,ELIXIR,1668,20,False,UMKDGBOG,08:00-16:00,False,1237,1237,,2025-01-20 15:45:09
HSBC,UK,GBP,CHAPS,3031,9,True,BLGEGBG3ETD,08:00-16:00,True,254,254,,2025-01-04 22:25:22
Allied Bank,US,USD,ACH,3347,20,True,014761820,00:00-23:59,True,177,177,,2025-02-08 15:56:18
Indian Bank,IN,INR,UPI,3515,7,True,IN6319533563,00:00-23:59,False,86,86,,2025-01-02 03:33:53
National Sri Lanka Bank,LK,USD,DOMESTIC_RAIL,2867,20,True,IXJSGBWY8YZ,08:00-17:00,False,1188,1188,,2025-02-27 06:58:53
Postbank,DE,EUR,SEPA,980,6,True,WMWGGB8LF1C,00:00-23:59,False,137,137,,2025-02-27 02:55:00
Kotak Mahindra Bank,IN,INR,RTGS,2992,1,False,IN0211039355,00:00-23:59,True,2511,2511,,2025-04-13 05:50:56
DZ Bank,DE,EUR,ELIXIR,1998,19,True,RSPBGB3TZM9,08:00-16:00,True,301,301,,2025-03-09 12:35:38
National Kuwait Bank,KW,USD,DOMESTIC_RAIL,2664,7,True,JNOOGBRZYNV,08:00-17:00,False,1161,1161,,2025-01-08 13:12:41
Hamburg Commercial Bank,DE,EUR,SEPA,1163,20,False,DKNPGBES,00:00-23:59,False,131,131,,2025-01-29 18:56:42
ICICI Bank,IN,INR,IMPS,827,16,True,IN6719429307,00:00-23:59,False,1603,1603,,2025-04-21 02:35:34
BMO Harris Bank,US,USD,CHIPS,3300,15,True,901427479,00:00-23:59,False,1133,1133,,2025-02-05 02:30:40
Vanguard Bank,US,USD,CHIPS,2420,16,False,896301179,00:00-23:59,False,1106,1106,,2025-02-05 11:46:52
Bank of Baroda,IN,INR,IMPS,1937,4,False,IN7246595000,00:00-23:59,False,1517,1517,,2025-02-21 18:51:40
TARGOBANK,DE,EUR,SEPA,1286,13,False,MIOFGB0F,00:00-23:59,False,84,84,,2025-03-05 18:08:54
Signature Bank,US,USD,ACH,2343,3,True,214018859,00:00-23:59,False,221,221,,2025-01-01 04:27:37
Fidor Bank,DE,EUR,ELIXIR,2563,4,True,WMZVGBXV,08:00-16:00,True,292,292,,2025-01-04 09:24:33
Hamburg Commercial Bank,DE,EUR,ELIXIR,1500,18,False,VKGMGB6O,08:00-16:00,False,309,309,,2025-01-22 05:03:00
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,2046,16,False,QCHCGBQ993S,00:00-23:59,False,1186,1186,,2025-02-07 08:12:04
Siemens Bank GmbH,DE,EUR,SEPA,2564,6,True,FMCPGBX7,00:00-23:59,False,1239,1139,$1 off per 50 txn,2025-03-11 11:45:12
Midwest Bank,US,USD,CHIPS,3011,16,True,742637348,00:00-23:59,False,1120,1120,,2025-01-17 16:20:28
Barclays,UK,GBP,DIRECT,549,10,True,UDGUGBAOAYQ,00:00-23:59,False,105,105,,2025-04-21 04:17:07
First Federal Bank of the Heartland,US,USD,CHIPS,3111,9,True,779280472,00:00-23:59,False,1127,1127,,2025-03-19 11:08:21
Central Bank of India,IN,INR,NEFT,913,6,True,IN7190841332,08:00-19:00,False,99,99,,2025-01-15 04:53:00
Atom Bank PLC,UK,GBP,CHAPS,653,5,False,SPDCGBK5,08:00-16:00,False,251,251,,2025-02-24 16:56:23
Atom Bank PLC,UK,GBP,CHAPS,369,16,False,PWEOGB4Y,08:00-16:00,False,169,169,,2025-02-25 03:01:13
Landesbank Baden-W�rttemberg,DE,USD,ELIXIR,399,4,True,UCPVGB8H,08:00-16:00,True,1183,1183,,2025-01-04 12:40:24
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1554,15,True,RMMUGB5CAQJ,08:00-17:00,True,289,289,,2025-02-15 04:38:37
HSBC,UK,GBP,DIRECT,2511,18,True,WHYZGBLQZ8E,00:00-23:59,False,1251,1251,,2025-03-31 06:30:06
NatWest,UK,GBP,CHAPS,3333,15,False,VEBHGB0VKY8,08:00-16:00,False,1400,1400,,2025-02-18 16:35:30
Metro Bank,UK,GBP,CHAPS,2092,12,True,KLVJGBV2ZNQ,08:00-16:00,True,290,290,,2025-04-12 02:26:22
ICICI Bank,IN,INR,NEFT,1960,4,True,IN7457619390,08:00-19:00,True,200,200,,2025-01-05 17:30:04
N26,DE,EUR,SEPA,599,2,False,BSSXGB7JWSK,00:00-23:59,False,131,131,,2025-03-31 14:27:28
Barclays,UK,GBP,CHAPS,863,6,True,XGLCGBTRL9U,08:00-16:00,False,189,189,,2025-03-14 17:07:51
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,3337,16,True,EDYCGBDC,08:00-17:00,False,245,245,,2025-01-07 21:18:27
BankUnited,US,USD,CHIPS,2022,9,True,654355554,00:00-23:59,False,1142,1142,,2025-04-17 17:53:58
Sparkasse,DE,EUR,SEPA,3350,8,True,FBSDGBL4,00:00-23:59,False,36,-64,$1 off per 50 txn,2025-04-09 15:03:51
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2058,11,False,VSOPGBSAMI2,08:00-17:00,False,201,201,,2025-03-05 10:48:37
Volksbank,DE,EUR,SEPA,2661,19,False,FXBXGB9Q,00:00-23:59,False,1131,1131,,2025-04-09 09:39:03
Nationwide,UK,GBP,DIRECT,1695,9,False,KIVUGBA979U,00:00-23:59,False,151,151,,2025-04-01 14:58:46
Indian Bank,IN,INR,NEFT,3502,11,True,IN0230975423,08:00-19:00,False,199,199,,2025-03-28 09:25:24
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,917,17,True,EJSAGBDD8LX,08:00-17:00,False,226,226,,2025-04-21 14:02:13
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1354,5,False,HZGCGBD7OPH,08:00-17:00,False,294,194,$1 off per 50 txn,2025-03-19 00:49:30
Bank of India,IN,INR,RTGS,1240,20,True,IN6256741633,00:00-23:59,False,2531,2531,,2025-02-07 03:29:07
TARGOBANK,DE,EUR,SEPA,2404,18,True,FJPZGBZC,00:00-23:59,True,176,176,,2025-01-26 14:39:20
HSBC,UK,GBP,DIRECT,499,0,True,XRFSGBIOAQH,00:00-23:59,True,75,75,,2025-01-04 15:41:54
Barclays,UK,GBP,CHAPS,1674,10,True,GLLUGBXF,08:00-16:00,False,343,343,,2025-01-09 11:55:13
DZ Bank,DE,EUR,SWIFT,30109,20,True,UZBQGB87,00:00-23:59,False,2585,2585,,2025-01-28 10:13:56
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1435,8,True,YAPUGB4A,08:00-17:00,False,112,112,,2025-02-11 18:47:51
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3069,7,True,PJRIGBOJ,08:00-17:00,False,138,138,,2025-03-19 07:56:55
Royal Bank of Scotland,UK,GBP,CHAPS,2139,18,True,KGIOGBJ1,08:00-16:00,False,269,269,,2025-01-28 13:01:39
Fidelity Bank,US,USD,ACH,2726,11,True,820501248,00:00-23:59,True,209,209,,2025-02-01 05:27:29
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3061,3,True,NIRSGBIK4TD,08:00-17:00,False,287,287,,2025-03-11 15:49:44
Halifax,UK,GBP,CHAPS,662,9,True,XEJWGB1M,08:00-16:00,False,160,160,,2025-02-04 09:31:56
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3395,7,False,LBCQGBJN,08:00-17:00,False,255,255,,2025-03-10 05:47:03
Union Bank of India,IN,INR,RTGS,2263,11,True,IN1085748046,00:00-23:59,False,2613,2613,,2025-04-23 12:22:18
Punjab and Sind Bank,IN,INR,RTGS,2308,19,True,IN4736718502,00:00-23:59,False,2615,2615,,2025-01-21 16:53:00
N26,DE,EUR,ELIXIR,1020,16,True,SYSYGBCMOO0,08:00-16:00,False,1233,1233,,2025-04-16 04:23:31
IDBI Bank,IN,INR,IMPS,1754,14,True,IN4697592602,00:00-23:59,False,1634,1634,,2025-02-25 13:36:41
Volksbank,DE,EUR,ELIXIR,1127,3,True,PIJVGBMECPS,08:00-16:00,False,209,209,,2025-03-28 07:52:18
UCO Bank,IN,EUR,NEFT,3191,2,True,IN5839003986,08:00-19:00,False,1284,1284,,2025-01-06 20:14:32
NatWest,UK,GBP,DIRECT,3127,8,True,FGKCGBJ0HW5,00:00-23:59,False,87,87,,2025-01-10 18:29:50
BankUnited,US,USD,Fedwire,1178,4,True,080611162,08:30-17:00,False,2624,2624,,2025-02-17 04:44:44
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,2342,10,True,VTGCGBX6W5Q,08:00-16:00,False,174,174,,2025-04-23 15:34:35
N26,DE,EUR,SEPA,1842,19,False,CXPDGB6AHSP,00:00-23:59,True,100,100,,2025-02-16 01:15:17
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,ELIXIR,2179,3,True,KSQWGBQ52BO,08:00-16:00,True,212,212,,2025-04-20 13:02:48
KeyBank,US,USD,Fedwire,3543,12,True,488026202,08:30-17:00,True,2546,2546,,2025-01-18 03:10:51
Siemens Bank GmbH,DE,EUR,ELIXIR,3445,4,True,MTGQGBIR,08:00-16:00,False,165,65,$1 off per 50 txn,2025-02-18 13:03:13
Bank of America,US,USD,Fedwire,2514,9,True,944462005,08:30-17:00,False,2601,2601,,2025-02-20 09:18:54
Indian Overseas Bank,IN,INR,NEFT,2086,8,True,IN0341012563,08:00-19:00,False,71,71,,2025-01-20 11:46:38
Bank of Maharashtra,IN,INR,NEFT,3408,4,True,IN1392504717,08:00-19:00,False,181,181,,2025-03-18 21:14:20
Community Financial Bank,US,USD,Fedwire,1986,2,True,850198243,08:30-17:00,False,2675,2675,,2025-01-07 11:20:22
Landesbank Hessen-Th�ringen,DE,EUR,SEPA,3326,15,True,ISBFGBNMQNS,00:00-23:59,False,129,129,,2025-01-31 10:11:18
NatWest,UK,GBP,CHAPS,3428,16,True,LMADGB3BU23,08:00-16:00,False,255,255,,2025-04-15 03:38:03
Deutsche Bank,DE,EUR,ELIXIR,1081,20,True,RIPYGBCG,08:00-16:00,True,281,197,30% weekend discount,2025-02-15 20:44:49
Royal Bank of Scotland,UK,GBP,CHAPS,693,5,True,VWYJGBCQ,08:00-16:00,False,1417,1417,,2025-01-14 22:04:44
Volkswagen Bank,DE,EUR,SEPA,2801,19,True,CRNLGBUTSM3,00:00-23:59,False,142,142,,2025-02-27 11:52:46
NatWest,UK,USD,CHAPS,1890,20,True,FNBHGB81PKP,08:00-16:00,False,1263,1263,,2025-04-23 23:09:56
New Bank of India,IN,INR,IMPS,3074,10,True,IN6081093516,00:00-23:59,False,1562,1562,,2025-02-04 22:10:09
Commerzbank,DE,EUR,ELIXIR,3189,7,True,YTPLGBIKQAU,08:00-16:00,False,186,186,,2025-04-22 04:52:40
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,776,9,True,CTPTGBN6V01,08:00-17:00,False,259,159,$1 off per 50 txn,2025-04-14 13:09:25
Syndicate Bank,IN,INR,NEFT,3522,0,False,IN0547223410,08:00-19:00,False,214,214,,2025-02-17 09:14:08
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2906,15,True,SWCRGBNP4KT,08:00-17:00,False,189,189,,2025-03-26 21:19:29
Landesbank Baden-W�rttemberg,DE,EUR,ELIXIR,2836,0,True,LVRFGBCJ,08:00-16:00,False,340,340,,2025-02-03 04:31:58
Alliance Bank,US,USD,Fedwire,3222,8,True,412718519,08:30-17:00,True,2610,2610,,2025-04-06 18:03:19
Metro Bank,UK,GBP,DIRECT,3438,10,False,XFBVGBRCX6G,00:00-23:59,False,128,128,,2025-03-03 01:23:58
BMO Harris Bank,US,USD,CHIPS,1786,0,True,332071200,00:00-23:59,False,1042,1042,,2025-03-19 18:05:15
Royal Bank of Scotland,UK,GBP,CHAPS,3443,2,True,MFWZGB4SJWF,08:00-16:00,True,1323,926,30% weekend discount,2025-01-12 20:52:28
ING,DE,EUR,SEPA,1364,10,True,QSDDGBYDWY5,00:00-23:59,False,105,105,,2025-01-06 10:28:10
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,3198,15,True,PYRYGBUM,08:00-17:00,False,200,200,,2025-02-24 03:05:08
KeyBank,US,USD,ACH,1763,16,True,595784801,00:00-23:59,False,212,212,,2025-04-17 12:25:29
Atom Bank PLC,UK,GBP,CHAPS,1478,5,True,HPIPGBG2,08:00-16:00,False,164,164,,2025-03-12 05:02:46
Provident Bank,US,USD,Fedwire,3269,3,True,832937458,08:30-17:00,False,2511,2511,,2025-03-17 17:41:02
State Bank of India (SBI),IN,INR,NEFT,2493,16,True,IN7836629333,08:00-19:00,True,102,102,,2025-03-09 08:54:19
Lloyds Banking Group,UK,GBP,DIRECT,3196,8,True,MVGPGBHL1FT,00:00-23:59,False,178,178,,2025-04-10 15:15:54
HSBC,UK,GBP,CHAPS,3026,19,True,SABVGBJU,08:00-16:00,False,311,311,,2025-03-21 00:38:24
Liberty Bank,US,USD,CHIPS,2068,11,True,959013303,00:00-23:59,True,1064,745,30% weekend discount,2025-03-29 17:59:26
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1182,3,True,MZZJGB0N,08:00-17:00,True,191,191,,2025-03-09 02:49:39
Yes Bank,IN,INR,IMPS,3471,0,False,IN4386015284,00:00-23:59,False,1590,1590,,2025-04-15 15:42:43
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,1715,8,True,PMFOGBYW2SP,00:00-23:59,True,1073,751,30% weekend discount,2025-03-22 10:37:41
ICICI Bank,IN,INR,IMPS,797,15,True,IN6700522034,00:00-23:59,True,1617,1617,,2025-01-19 23:30:56
Navy Federal Credit Union,US,USD,ACH,2898,11,True,509746847,00:00-23:59,False,52,52,,2025-02-26 08:46:39
Royal Bank of Scotland,UK,GBP,DIRECT,2070,9,True,YRSBGBZ3QO4,00:00-23:59,True,1200,1200,,2025-03-30 09:00:42
ABC International Bank plc,UK,GBP,CHAPS,2129,20,True,ITEMGBEXMAP,08:00-16:00,True,226,226,,2025-02-22 03:18:31
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3083,19,True,FNNVGBZ5,08:00-17:00,False,220,220,,2025-04-01 07:47:24
HSBC,UK,GBP,DIRECT,2333,11,True,NISBGBL40FG,00:00-23:59,False,113,113,,2025-04-22 01:24:00
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2685,2,True,OXLQGBSG,08:00-17:00,False,184,184,,2025-04-07 05:47:21
ING,DE,EUR,SEPA,3082,11,False,UXZNGBZN5TF,00:00-23:59,False,49,49,,2025-01-31 08:19:25
Siemens Bank GmbH,DE,EUR,SEPA,3364,15,True,VDIUGBMMLJZ,00:00-23:59,False,27,27,,2025-01-10 13:07:36
Andhra Bank,IN,INR,RTGS,495,16,True,IN2232502889,00:00-23:59,False,2574,2574,,2025-01-21 14:03:17
HSBC,UK,GBP,DIRECT,1626,13,True,XLFIGBHM,00:00-23:59,False,194,194,,2025-01-07 04:17:50
Volkswagen Bank,DE,EUR,SEPA,3461,1,False,JQCIGBPY,00:00-23:59,True,139,139,,2025-02-16 22:03:43
Indian Bank,IN,INR,IMPS,335,12,True,IN2944109343,00:00-23:59,False,1600,1600,,2025-03-06 11:47:53
National Sri Lanka Bank,LK,GBP,DOMESTIC_RAIL,2550,0,True,JAQTGBOB,08:00-17:00,True,1299,1299,,2025-03-23 23:27:45
National Guyana Bank,GY,GBP,DOMESTIC_RAIL,2909,3,True,EOSZGB89,08:00-17:00,True,1345,1345,,2025-04-06 11:47:07
First Federal Bank of Chicago,US,USD,CHIPS,3511,9,False,723051158,00:00-23:59,False,1159,1159,,2025-04-11 13:54:34
Santander,DE,GBP,ELIXIR,3480,17,True,LXWEGBBA,08:00-16:00,False,1276,1276,,2025-03-17 12:12:11
Santander UK,UK,GBP,DIRECT,2822,2,False,FPAKGB9301B,00:00-23:59,False,1261,1261,,2025-01-02 12:42:03
Santander,DE,EUR,ELIXIR,1437,12,True,BSSPGBKG,08:00-16:00,False,307,307,,2025-01-22 16:19:22
Volksbank,DE,EUR,SEPA,472,5,True,AESYGBX7,00:00-23:59,False,93,93,,2025-01-22 04:22:25
Barclays,UK,GBP,DIRECT,2260,8,True,PXXSGB2B693,00:00-23:59,False,105,105,,2025-04-09 19:24:13
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2098,5,True,NVXEGB4VLW7,08:00-17:00,True,141,99,30% weekend discount,2025-01-04 09:22:04
Fidelity Investments,US,USD,CHIPS,1087,17,True,040211044,00:00-23:59,False,1078,1078,,2025-04-10 19:54:55
Bank of the West,US,USD,ACH,3492,1,True,933865793,00:00-23:59,False,54,54,,2025-02-12 02:08:15
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2342,2,False,PUGXGBZAYHI,08:00-17:00,True,1415,990,30% weekend discount,2025-03-30 17:00:14
Fidor Bank,DE,EUR,SEPA,2982,4,True,UHOJGBIJA9A,00:00-23:59,False,74,74,,2025-01-27 17:53:54
N26,DE,EUR,SEPA,3360,8,True,BVDVGBOE,00:00-23:59,False,141,141,,2025-03-20 03:50:48
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2647,17,True,UCOEGB6SBGW,08:00-17:00,True,206,206,,2025-02-23 10:22:49
Royal Bank of Scotland,UK,EUR,CHAPS,852,0,True,KGHVGB06,08:00-16:00,False,1291,1291,,2025-02-28 11:14:59
Central Bank of India,IN,INR,IMPS,3403,4,True,IN8307143833,00:00-23:59,False,1595,1595,,2025-01-03 15:13:47
Halifax,UK,GBP,CHAPS,2492,19,True,QDHWGBT0SZ9,08:00-16:00,False,1393,1393,,2025-02-27 08:14:47
ABC International Bank plc,UK,GBP,DIRECT,940,1,True,DYPTGBU51S8,00:00-23:59,False,55,55,,2025-04-01 20:31:15
Central Bank of India,IN,INR,UPI,2367,6,True,IN3627057060,00:00-23:59,False,51,51,,2025-04-17 13:03:19
Bank of Baroda,IN,INR,RTGS,2611,18,True,IN9770595219,00:00-23:59,False,2684,2684,,2025-03-12 05:22:37
UniCredit Bank AG,DE,EUR,ELIXIR,2270,6,True,IFYDGBIB,08:00-16:00,False,191,191,,2025-01-02 03:35:58
BankUnited,US,USD,Fedwire,1487,18,True,120729798,08:30-17:00,False,2577,2577,,2025-01-29 19:42:56
ABC International Bank plc,UK,GBP,CHAPS,1541,0,True,FFYPGB8W,08:00-16:00,False,1407,1407,,2025-04-22 00:02:51
Lloyds Banking Group,UK,GBP,DIRECT,1075,13,True,BHAPGBAJZSB,00:00-23:59,True,119,119,,2025-02-01 16:58:47
ING,DE,EUR,SEPA,1434,15,True,YYSXGB7S4S9,00:00-23:59,False,176,176,,2025-04-21 00:33:26
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,2167,1,False,UAAJGB39,00:00-23:59,False,119,119,,2025-04-18 11:24:06
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,3378,15,True,WHODGBMK4PH,08:00-17:00,True,146,146,,2025-04-19 00:21:21
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2152,16,True,HQRFGBXJ,08:00-17:00,True,242,242,,2025-03-09 23:39:03
Punjab and Sind Bank,IN,INR,RTGS,1777,4,True,IN2698797374,00:00-23:59,False,2679,2679,,2025-02-04 18:56:53
New York Community Bancorp,US,USD,CHIPS,900,14,True,557679051,00:00-23:59,False,2125,2125,,2025-01-15 13:28:15
Sparkasse,DE,EUR,SEPA,3226,1,False,NMMUGBM4,00:00-23:59,False,132,132,,2025-01-28 08:36:47
First Federal Bank of the Heartland,US,EUR,SWIFT,16813,7,True,015990850,00:00-23:59,True,2644,2644,,2025-02-22 11:43:34
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,2305,10,True,UQGJGBCGKKW,00:00-23:59,True,1166,1166,,2025-03-16 23:12:10
Kotak Mahindra Bank,IN,INR,NEFT,3055,9,True,IN3851335916,08:00-19:00,False,186,186,,2025-03-11 09:45:12
Indian Bank,IN,INR,NEFT,2191,6,True,IN0706777794,08:00-19:00,False,83,83,,2025-03-07 09:07:42
Volksbank,DE,EUR,SEPA,1938,0,True,NRVJGBVM,00:00-23:59,False,24,24,,2025-01-14 11:01:12
Signature Bank,US,USD,CHIPS,492,4,True,815478431,00:00-23:59,True,1137,796,30% weekend discount,2025-03-29 12:14:24
Signature Bank,US,USD,ACH,3578,3,True,584728136,00:00-23:59,False,209,209,,2025-01-22 08:08:02
ABC International Bank plc,UK,GBP,CHAPS,1787,12,True,ERHWGBAH,08:00-16:00,False,204,204,,2025-02-07 03:53:25
IndusInd Bank,IN,INR,UPI,2371,16,True,IN3176231691,00:00-23:59,False,24,24,,2025-03-14 18:27:56
Navy Federal Credit Union,US,USD,CHIPS,1407,17,True,009393927,00:00-23:59,False,1095,995,$1 off per 50 txn,2025-01-21 15:06:07
First National Bank,US,USD,ACH,3466,1,True,821599636,00:00-23:59,False,82,82,,2025-04-10 02:11:57
Bank of America,US,USD,Fedwire,3170,3,True,492496902,08:30-17:00,False,2685,2685,,2025-01-08 03:09:37
UCO Bank,IN,INR,NEFT,1478,2,True,IN1369067357,08:00-19:00,False,95,95,,2025-01-09 02:50:38
New Bank of India,IN,INR,IMPS,1107,20,True,IN5673945325,00:00-23:59,False,1554,1554,,2025-03-25 21:21:27
Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,2609,16,False,GDSXGB2NCDA,08:00-17:00,False,156,156,,2025-04-18 03:13:26
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3020,14,True,WTAFGB8F,08:00-17:00,True,171,171,,2025-02-22 02:28:54
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1404,10,True,ILTKGBG0,08:00-17:00,True,205,205,,2025-01-04 20:08:34
Fifth Third Bank,US,USD,ACH,713,1,False,664375918,00:00-23:59,False,168,168,,2025-04-17 17:13:08
